제목,작성 날짜,주최사,활동내용,모집 기간,모집 인원,모집 대상,참가 비용 유/무,우대 사항,활동 지역,활동 기간
[전액무료] [KT&G] 캄보디아 희망특파원 시즌7 참가자 모집,20180404,KT&G," 캄보디아 씨엠립주 인근 초등학교 내 봉사활동, 재능기부, 문화탐방(앙코르와트)", 모집기간 : 2018년 03월 30일(금) ~ 04월 15일(일) 자정 1차 합격발표 : 2018년 04월 18일(수) 2차 심층면접 : 2018년 04월 20일(금)  KT&G 상상아틀리에 서울 최종합격발표 : 2018년 04월 21일(토), 10명 / 개인참가, 대학 재학생 및 휴학생 (대학원생 불가) 해외여행에 결격사유가 없는 자, 전액 지원,," 캄보디아 씨엠립주, 앙코르와트", 2018년 07월 05일(목) ~ 07월 17일(화) / 11박 13일
[CIJ영어캠프]필리핀 세부에서 함께 힐 인솔자 분들을 모집!(~6/30),20180404,CIJ ACADEMY@SCHOOL(CIJ어학원),학생 인솔 및 관리(현지 생활은 물론출국부터 입국까지 동행)담임 교사제 담당 학생들 관리 업무사진 업로드 및 편지 업로드 등학생 건강 및 생활관리담당 학생 학부모전화상담액티비티 진행**출국 전 사전교육 참가 및 캠프 오리엔테이션 참석 및 간단 업무 진행(1~2회),모집시 까지 (~6/30),수학수업/체육수업남자 00명여자 00명,체육수업/수학수업 가능 자(졸업생 가능),X,우대사항:군필자/고등학생수학수업까지 강의 가능한자/수학과외 및 체육과외 경험 있는자영어 가능자우대(못하셔도 무방합니다)아이들을 사랑하고열과 성을 다해 아이들을 보살필 열정을 가진 자책임감 있는자각 부문 경험자우대,필리핀 세부,2018년07월22일(일)출국2018년09월01일(토)상기 일정 중6주/8주 배정되게되며 주차의 경우 선택은 불가합니다*참가 주차와 일정은 변경될 수 있습니다*
[리얼 스토리 in 아시아] 참가자 모집,20180404, 주최사: 성남시청소년재단 분당정자청소년수련관  활동명: 리얼 스토리 In 아시아," 노력봉사 활동, 기획봉사 활동, 교류활동, 문화탐방 등 모집기간  2018. 04. 02.(월) 04. 20.(금)모집대상 대학생 청소년(만 24세 이하) . 단 성남시에 거주하거나, 성남에 소재한 대학에 다니는 학생 지원 가능 1차 서류 심사, 2차 심층면접 후 최종 참여자 확정(개별연락)활동비용  참가비: 금300,000원+(항공료 및 개인경비 자부담) 대학생 청소년(만 24세 이하) 활동지역  태국(방콕, 랑시, 촌부리 등)활동기간  사전활동: 2018. 05. 12.(토) ~ 06. 23.(토) > 일정은 사정에 의해 변경될 수 있음 본활동 : 2018. 06. 24.(일) ~ 07. 04.(수) / 9박 11일 사후활동: 2018. 08월 중 혜택사항 헤택과 관련된 사항은 담당자 문의 오프라인 모임 횟수5월 ~6월 사이 / 3회 ~ 5회 진행 지원하는 방법 5월 ~6월 사이 / 3회 ~ 5회 진행 공식까페 및 블로그  https://www.snyouth.or.kr/tenten21/index.do기타사항  궁금한 사항은 담당자 문의 0317299534",,,,,,,
[2018 워크페스티벌] 대외활동 유.럽.에서 하자! 유럽축제기획단을 모집합니다! (~선착순마감),20180403,한국&이탈리아 문화교류 단체 코아인,"유럽! 축제위를 걷다. <Walk Festival>1년에 단 2번!유럽의 세계적인 축제를 즐기고, 유럽속에서 한국을 만들다!<유럽축제참여>유럽 최고의 뮤직페스티벌 상 수상!20대를 위한 축제라는 수식어섬 전체에서 진행되는 뮤직페스티벌 <시게트 페스티벌><축제기획 / MK프로젝트>유럽 속 한국만들기!Making Korea 프로젝트이미 이탈리아에서는 MK프로젝트 날짜를 기다리는 사람들이 있습니다!<유럽여행>여행의 최우선은 안전!외교부에서 지정한 안전한 여행지로만 선정한 코스!우리만 타는 전용버스로 이동까지 편하게!<랜덤미션>유럽에 갔더니... 또 성당~~~??갑자기 주어지는 랜덤미션!20대라면 여행도 특별하게 즐겨보자!<한복대여지원 / 2주간 1만원>유럽에서 한복입기! #버킷리스트예쁜한복을 2주간 1만원에 대여할 수 있도록 지원합니다.유럽에서 한복입으면 너도나도 연예인! 사진찍자는 외국인이 줄을섭니다 :)",2018년 2월 14일 ~ 선착순마감,"각 기수별 48명 (기수는 여행 출발날짜만 다르며, 축제와 일정은 동일합니다!)","남들과는 다른 특별한 인생스토리 & 스펙을 갖고 싶은 20대 청춘 누구나!흔한 유럽여행 말고 우리만의 축제를 만들고 한국을 알리고 싶은 20대 청춘 누구나!나에 대한 욕심이 많고, 새로운 터닝포인트가 필요한 20대 청춘 누구나!졸업생 가능여부 : O",유료 프로그램입니다.,없음,"유럽 경력 14년의 노하우를 담고, 외교부에서 지정한 안전한 지역을 넣어 만든 특별한 유럽코스!!2주는 짧고, 3주는 길다<17박 18일>이탈리아(로마, 피렌체, 베네치아)슬로베니아(류블라냐)헝가리(부다페스트)오스트리아(비엔나)체코(체스키크롬로프, 프라하)","<17박 18일>30기, 31기 : 7.29 ~ 8.1532기 : 8.1 ~ 8.1833기 : 8.4 ~ 8.2134기, 35기 : 8.10 ~ 8.27(모든 기수의 방문도시 & 축제는 동일합니다. 날짜에 따라 기수가 나뉘어져 있습니다.)"
"아리랑유랑단 유럽 프로젝트 1,2기 모집 (~4/10)",20180403,아리랑 유랑단,"유럽 광장 버스킹, 기관 공연, 자유여행 등유럽에서 한국문화를 알리기 위한 여행 상세 내용 : https://goo.gl/TXMtEH",~4/10,1기 35명2기 10명,2030 청춘남녀 누구나! (전공무관),유,한국문화를 사랑하는 사람,"[유럽1기]이탈리아, 스위스, 독일, 프랑스, 벨기에, 네덜란드[유럽2기]스페인, 포루투갈","[유럽1기]07/03(화) ~ 07/18(수), 14박16일[유럽2기]07/19(목) ~ 07/31(수), 12박14일[시차]한국보다08시간느림[잔류여부]항공미포함선택시개인여행을위한잔류가능"
[캄보디아 HABITAT-집짓기 건축 봉사] 개인건축(교육) 봉사자 모집(~8월까지),20180403,캄보프렌드,주택건축봉사활옹 + 교육봉사활동,~ 2018.08월까지,제한없음,"제한없음 (학생,휴학생,졸업생,직장인,일반인 등) : 홀로 또는 동행과 함께 건축에 대한 기본 지식이 없어도 누구나 참여 가능",참가비용 : 유,해당없음,캄보디아 씨엠립,1차~2차 각 차수별 6박8일 일정 (희망차수 선택하여 지원 가능)
[CFO] 하계방학 해외 Challenge 봉사 지원자 모집 (~9/30일까지),20180403,CAMBOFRIEND ORGANIZATION  2018년 하계방학 Challenge 및 Free Challenge 봉사활동 지원자 모집,교육봉사활동 + 노력봉사활동,~ 2018.09.30일까지,제한없음,"학생,휴학생,졸업생,직장인,일반인 등 (홓로 또는 동행과 함께)",참가비용 : 유,해당없음,캄보디아(씨엠립) / 필리핀(클락) / 몽골(울란바토르) / 네팔(카트만두) / 케냐(나이로비)," 제 13기 Challenge 봉사 프로그램 : 1차~11차 각 차수별 6박8일 일정(차수 본인 선택 지워)  Free Challenge 봉사 프로그램 : 4박6일 이상 봉사일정,출발일 본인이 정하여 봉사활동"
[아시아나항공] 아시아나가 네 꿈에 날개가 되어줄게! 드림윙즈 8기 모집(~4/13),20180402,아시아나항공,"아시아나 드림윙즈는 꿈 꾸는 대학생들이 더 큰 꿈을 꾸고, 더 넓은세계를 경험할 수 있도록꿈에 대해 성찰할 수 있는 계기를 마련하고, 해외활동을 후원하는 아시아나항공의대학생 꿈 실현 프로젝트입니다.",3월 12일(월) ~ 4월 13일(금) 낮 2시 마감,최대 10팀 선발(개인 또는 2인 구성 팀 지원),재/휴학생 지원 가능(졸업생/석박사 과정 제외),왕복 항공권 + 여행 지원금 제공,,아시아나항공 직항 취항 도시,4월~7월
[CAMBOFRIEND] 해외봉사-개인교육봉사 지원자 모집(수시모집),20180330,CAMBOFRIEND,교육봉사활동,연중수시모집,제한없음 (홀로 또는 동행과 함께 신청 가능),"제한없음 (학생,휴학생,졸업생,직장인,일반인 등)",참가비용 : 유,해당없음,캄보디아(씨엠립) / 필리핀(클락) / 몽골(울란바토르) / 네팔(카트만두) / 케냐(나이로비),봉사활동기간 본인이 직접 정하여 봉사활동 가능
[VOLUNTOUR-공정봉사여행] 해외공정봉사여행 참가자 모집 (수시모집),20180329,캄보프렌드,"교육봉사 + 현지 실생활체험활동 + 문화,생활상탐방 + Activity체험활동 등",연중수시모집,"제한없음 (단, 2명이상 동행과 함께 신청 가능)","제한없음 (졸업생 가능) : 학생,휴학생,직장인,일반인 등",참가비용 : 유,해당없음 (누구나 신청 가능),캄보디아(씨엠립) / 몽골(울란바토르) / 네팔(카트만두) / 케냐(나이로비),3박5일 / 4박6일 / 6박8일 프로그램 운영 (본인 선택)
[여성가족부] 2018 국가간 청소년교류 파견대표단 청소년&통역모집 (~4/18),20180329,2018 국가간 청소년교류 파견대표단 청소년 및 통역 1차모집주최 및 주관: 여성가족부,"여성가족부는 청소년의 글로벌역량 강화와 국가간 상호 이해 및 우호 협력 증진을 위해 매년 “국가간 청소년교류 사업”을 시행하고 있습니다. 선발된 청소년들은 대한민국 정부의 공식 대표단 자격으로 상대국 청소년들과의 교류모임, 문화체험, 홈스테이, 유적지 및 산업시설 탐방 등의 다양한 교류활동을 펼치게 됩니다. 2018년 “국가간 청소년교류 1차 대한민국 대표단”으로 참가할 청소년과 통역을 다음과 같이 모집하오니 많은 참여 바랍니다.",2018.3.28.(수) ~ 4.18.(수)*오후 6시 마감,"[일반파견]국가명파견기간청소년통역통역언어몽골6.21.~6.30.71몽골어일본7.24.~8.7.243일본어아제르바이잔7.24.~8.2.91아제르바이잔어말레이시아8.22.~8.31.121영어4개국526[전문파견]*국가명(테마)파견기간청소년통역통역언어멕시코(청소년활동정책)6.13.~6.22.9**1스페인어1개국91* 전문파견: 청소년들이 청소년지도사의 코칭 하에 스스로 테마형 프로그램 기획, 참여 및 결과공유까지 수행하는 프로젝트 활동** 멕시코(전문파견) 참가청소년 선발의 경우, 만 19~24세 청소년지도사 및 청소년관련 학과생 모집(증빙서류 제출)","[청소년]만 16세 이상 만 24세 이하의 대한민국 청소년* 일본: 만 19세 이상 ~ 만 24세 이하* 멕시코: 만 19세 이상 ~ 만 24세 이하, 청소년지도사 또는 청소년관련학과 재학생[통역]만 20세 이상 29세 이하로, 파견 국가 해당 언어 통역이 가능한 자","[청소년] 참가자부담: 왕복항공료(80%), 사전교육 시 발생하는 교통비 정부 지원: 왕복항공료(20%), 여행자보험료, 방문국 체재비 및 비자발급 비용[통역] 참가자부담: 사전교육 참여시 발생하는 교통비 정부지원: 왕복항공료(100%), 여행자보험료, 방문국 체재비 및 비자발급 비용* 일비지급: 파견일수 기준 공무원 여비규정에 의함","1. 사회적 배려계층 청소년: 왕복항공료(100%) 정부지원(기초생활수급자, 저소득한부모가족, 다문화가족, 장애인 청소년, 북한이탈자, 법적 차상위계층, 농어촌청소년, 학교 밖 청소년)2. 청소년활동 참여 우수자: 청소년활동 관련 사업 또는 행사의 여성가족부장관상(표창) 이상 훈격 수상자3. 다문화가족 청소년: 파견국가와 부모의 출신국이 동일한 다문화가족 청소년",모집인원 참조,모집인원 참조
"[한국갭이어] 떠오르는 실버 산업 공략, 그리스 시니어 복지케어 인턴십(~선착순 마감)",20180329,한국갭이어,상단 활동내용 참고,선착순 마감,선착순 마감,"대학생, 휴학생, 일반인, 졸업생 등 만 18세 이상이면 누구나 가능",유,,그리스,최소 4주 이상
[2018 워크페스티벌] 대외활동 ★유럽★ 에서 하자! 유럽축제기획단을 모집합니다! (~선착순마감),20180329,한국&이탈리아 문화교류 단체 코아인,"유럽! 축제위를 걷다. <Walk Festival>1년에 단 2번!유럽의 세계적인 축제를 즐기고, 유럽속에서 한국을 만들다!<유럽축제참여>유럽 최고의 뮤직페스티벌 상 수상!20대를 위한 축제라는 수식어섬 전체에서 진행되는 뮤직페스티벌 <시게트 페스티벌><축제기획 / MK프로젝트>유럽 속 한국만들기!Making Korea 프로젝트이미 이탈리아에서는 MK프로젝트 날짜를 기다리는 사람들이 있습니다!<유럽여행>여행의 최우선은 안전!외교부에서 지정한 안전한 여행지로만 선정한 코스!우리만 타는 전용버스로 이동까지 편하게!<랜덤미션>유럽에 갔더니... 또 성당~~~??갑자기 주어지는 랜덤미션!20대라면 여행도 특별하게 즐겨보자!<한복대여지원 / 2주간 1만원>유럽에서 한복입기! #버킷리스트예쁜한복을 2주간 1만원에 대여할 수 있도록 지원합니다.유럽에서 한복입으면 너도나도 연예인! 사진찍자는 외국인이 줄을섭니다 :)",2018년 2월 14일 ~ 선착순마감,"각 기수별 48명 (기수는 여행 출발날짜만 다르며, 축제와 일정은 동일합니다!)","남들과는 다른 특별한 인생스토리 & 스펙을 갖고 싶은 20대 청춘 누구나!흔한 유럽여행 말고 우리만의 축제를 만들고 한국을 알리고 싶은 20대 청춘 누구나!나에 대한 욕심이 많고, 새로운 터닝포인트가 필요한 20대 청춘 누구나!졸업생 가능여부 : O",유료 프로그램입니다.,없음,"유럽 경력 14년의 노하우를 담고, 외교부에서 지정한 안전한 지역을 넣어 만든 특별한 유럽코스!!2주는 짧고, 3주는 길다<17박 18일>이탈리아(로마, 피렌체, 베네치아)슬로베니아(류블라냐)헝가리(부다페스트)오스트리아(비엔나)체코(체스키크롬로프, 프라하)","<17박 18일>30기, 31기 : 7.29 ~ 8.1532기 : 8.1 ~ 8.1833기 : 8.4 ~ 8.2134기, 35기 : 8.10 ~ 8.27(모든 기수의 방문도시 & 축제는 동일합니다. 날짜에 따라 기수가 나뉘어져 있습니다.)"
[한국한의학연구원] 2018 KIOM 글로벌원정대 모집 (~05.16),20180328,한국한의학연구원,"세계 최고 수준 응용과학기관, 관련 연구소, 기업 대학, 정부기관 연수",2018. 4.23 (월) ~5.16 (수),00명,대학생,"무활동 기간2018년 7~8월 중 2~3주 연수활동 혜택 ● 지원 규모 : 총 3,350만 원 ● 연수지원금(3,000만 원) : 연수비용 산출근거에 따라 팀별 최대 1,000만 원 지급 ● 장학금(350만 원) : 연수 후 성과보고회 발표심사를 통해 총 350만 원 장학금 지급지원하는 방법● 접수 기간 : 2018. 4. 23(월) ~ 5. 16(수) ● 접수 방법 : 한국한의학연구원 홈페이지공지사항에서 신청서 다운로드 받아 작성 후 이메일(kiomglobal@kiom.re.kr) 제출 ☞ 신청서 다운로드 바로가기 : goo.gl/fps4TR  공식 카페/블로그 및 SNS ● 카페 : http://cafe.daum.net/kiomglobal ● 한국한의학연구원 홈페이지 : www.kiom.re.kr ● 문의 : 한국한의학연구원 홍보협력팀(0428692776)  < 대외활동 담당자의 Q&A >Q. 지난번 경쟁률은 어땠나요?A.Q. 필요 역량 및","은 뭔가요?A.Q. 서류/면접전형 주의사항이 있다면?A.Q. 구체적으로 어떤 활동 하나요?A.Q. 우리 활동, '이것' 만큼은 꼭 자랑하고 싶다!A.Q. 지원 망설이는 분들에게 한 마디 해주신다면!A.",,2018년 7~8월 중 2~3주 연수
"아리랑유랑단 유럽 프로젝트 1,2기 단원 모집(~4/10)",20180328,아리랑 유랑단,"유럽 광장 버스킹, 기관 공연, 자유여행 등유럽에서 한국문화를 알리기 위한 여행 상세 내용 : https://goo.gl/TXMtEH",~4/10,1기 35명2기 10명,2030 청춘남녀 누구나! (전공무관),유,한국문화를 사랑하는 사람,"[유럽1기]이탈리아, 스위스, 독일, 프랑스, 벨기에, 네덜란드[유럽2기]스페인, 포루투갈","[유럽1기] 07/03(화) ~ 07/18(수), 14박16일[유럽2기] 07/19(목) ~ 07/31(수), 12박14일[시차] 한국보다 08시간 느림[잔류여부] 항공 미포함 선택시 개인 여행을 위한 잔류 가능"
"[CIA열린교육]필리핀 여름캠프 인솔자(수학,체육,영상,유치부) 모집(~6.04)",20180328,CIA 열린교육,2018 여름캠프 인솔자로 학생 관리 및 기타 업무 2018 여름캠프 수학선생님으로 초/중/고 수학 지도(수학) 2018 여름캠프 체육교사 및 학생관리(체육) 2018 여름캠프 영상편집자로 캠프 영상 및 사진 편집(영상) 2018 여름캠프 유치부관리교사 및 유치부 학생관리(유치부), 2018. 3. 28 ~ 2018. 6. 04, 00명, 4년제 대학 재학생 혹은 졸업생, 항공권 보증금 20만원(캠프 후 지원금과 함께 다시 입금해 드립니다.), 학생관리 경험자 우대 수학수업 및 과외 경험자 우대(수학) 수영전공자 혹은 수영지도경험자 우대(수영) 영상편집기능자 우대(영상) 유아교육 및 아동교육 전공자 우대(유치부), 필리핀 세부, 2018. 07. 21 ~ 2018. 08. 17 4주 2018. 07. 22 ~ 2018. 08. 25 5주 2018. 07. 14 ~ 2018. 08. 24 6주
[캄보프렌드] 2018년 하계방학 해외봉사활동 지원자 모집(하계 및 수시모집),20180328,캄보프렌드,"교육봉사,노력봉사,건축봉사,볼런투어(공정봉사여행),컴퓨터교육,기타 개인 및 단체봉사단",하계방학 봉사프로그램 (~2018.09월까지) / 연중수시모집 봉사프로그램 (연중수시지원),제한없음,제한없음 (개인 또는 단체) : 졸업생 신청 가능,참가비용 : 유,제한없음 (누구나 봉사활동 참여 가능),캄보디아(씨엠립) / 필리핀(클락) / 몽골(울란바토르) / 네팔(카트만두) / 케냐(나이로비),봉사프로그램마다 활동기간 다름 (본인 희망에 따라 일정 선택 가능)
[CIA열린교육]2018여름 CIA필리핀 영어캠프 인솔자 모집(~6.04),20180327,CIA 열린교육,2018 여름캠프 인솔자로 학생 관리 및 기타 업무 2018 여름캠프 체육교사 및 학생 관리, 2018. 3. 27 ~ 2018. 06. 04, 00명, 4년제 대학 재학생 혹은 졸업생, 항공권 보증금 20만원(캠프 후 지원금과 함께 다시 입금해 드립니다.), 학생관리 경험자 우대 수학지도 경험자 우대 수영전공자 혹은 수영지도경험자 우대 영상편집기능자 우대, 필리핀 세부, 2018. 07. 21 ~ 2018. 08. 17 4주 2018. 07. 22 ~ 2018. 08. 25 5주 2018. 07. 14 ~ 2018. 08. 24 6주
[전액무료] [KT&G] 캄보디아 희망특파원 시즌7 (~4/15),20180326,KT&G," 캄보디아 씨엠립주 인근 초등학교 내 봉사활동, 재능기부, 문화탐방(앙코르와트)", 모집기간 : 2018년 03월 30일(금) ~ 04월 15일(일) 자정 1차 합격발표 : 2018년 04월 18일(수) 2차 심층면접 : 2018년 04월 20일(금)  KT&G 상상아틀리에 서울 최종합격발표 : 2018년 04월 21일(토), 10명 / 개인참가, 대학 재학생 및 휴학생 (대학원생 불가) 해외여행에 결격사유가 없는 자, 전액 지원,," 캄보디아 씨엠립주, 앙코르와트", 2018년 07월 05일(목) ~ 07월 17일(화) / 11박 13일
캐나다 문화체험 봉사활동  ( ~ 03.31),20180326,문화체험 본부,와이너리 / 호텔&호스텔 / 리조트 인턴,3월16일 부터 3월 30까지,18년도 / 50명,졸업생 가능만19세  30세의 해외 여행에 결격 사유가 없는 심신이 건강한 남녀캐나다 워킹홀리데이 비자 발급예정자 또는 소지자 (미 소지자 한정적 가능)영어회화(중급이상) 가능자 (초급 한정적 가능)관련 업무 또는 활동 유 경험자 우대현지인들과 공동체의 문화를 이해하려는 열린 자세를 가진 사람프랑스어 가능자 우대 (퀘백지역),"유  항공료, 보험, 개인용돈 + 참가비",관련 업무 또는 활동 유 경험자 우대프랑스어 가능자 우대 (퀘백지역)캐나다 워킹홀리데이 비자 발급예정자 또는 소지자 (미 소지자 한정적 가능),벤쿠버밴프나이아가라토론토몬트리올퀘백*캐나다 전 지역*,3개월/6개월/9개월/1년
20-30대를 위한 유럽탐방은 세계로뭉게구름과 함께,20180322,젊은 여행 동호회 세계로뭉게구름,전국의 대학생들과 함께 떠나는 유럽 문화 탐방,각 월 말일,~ 선착순 각 40명,20대부터 86년생 까지 신청이 가능하며열정이 넘치고 다른 사람을 배려할 줄 아는 사람,참가비용이 발생합니다.,적극적이고 남을 배려할줄 아는 사람이면 누구나 우대,유럽,"각 출발일별로 30일, 20일, 16일 프로그램"
[캄보디아 해비타트-희망의 집짓기] 개인건축(교육) 봉사자 모집(~8월까지),20180322,캄보프렌드,주택건축봉사활옹 + 교육봉사활동,~ 2018.08월까지,제한없음,"제한없음 (학생,휴학생,졸업생,직장인,일반인 등) : 홀로 또는 동행과 함께 건축에 대한 기본 지식이 없어도 누구나 참여 가능",참가비용 : 유,해당없음,캄보디아 씨엠립,1차~2차 각 차수별 6박8일 일정 (희망차수 선택하여 지원 가능)
[CFO] 하계방학 해외 Challenge 봉사 지원자 모집 (~9/30일까지),20180322,CAMBOFRIEND ORGANIZATION  2018년 하계방학 Challenge 및 Free Challenge 봉사활동 지원자 모집,교육봉사활동 + 노력봉사활동,~ 2018.09.30일까지,제한없음,"학생,휴학생,졸업생,직장인,일반인 등 (홓로 또는 동행과 함께)",참가비용 : 유,해당없음,캄보디아(씨엠립) / 필리핀(클락) / 몽골(울란바토르) / 네팔(카트만두) / 케냐(나이로비)," 제 13기 Challenge 봉사 프로그램 : 1차~11차 각 차수별 6박8일 일정(차수 본인 선택 지워)  Free Challenge 봉사 프로그램 : 4박6일 이상 봉사일정,출발일 본인이 정하여 봉사활동"
"[한국갭이어] 내 인생의 와일드 로드, 미국 서부에서 환경보존 봉사활동(~선착순 마감)",20180316,한국갭이어,상단 내용 확인,선착순 모집,00명,"만 18세 이상 참가자 누구나, 졸업생, 휴학생, 일반인 등 가능",유기간별 비용 상이상세 비용은 홈페이지 참고,,미국 캘리포니아,최소 8주~
[워크페스티벌] 대외활동 유.럽.에서 하자! 2018 유럽축제기획단을 모집합니다! (선착순마감),20180316,한국&이탈리아 문화교류 단체 코아인,"유럽! 축제위를 걷다. <Walk Festival>1년에 단 2번!유럽의 세계적인 축제를 즐기고, 유럽속에서 한국을 만들다!<유럽축제참여>유럽 최고의 뮤직페스티벌 상 수상!20대를 위한 축제라는 수식어섬 전체에서 진행되는 뮤직페스티벌 <시게트 페스티벌><축제기획 / MK프로젝트>유럽 속 한국만들기!Making Korea 프로젝트이미 이탈리아에서는 MK프로젝트 날짜를 기다리는 사람들이 있습니다!<유럽여행>여행의 최우선은 안전!외교부에서 지정한 안전한 여행지로만 선정한 코스!우리만 타는 전용버스로 이동까지 편하게!<랜덤미션>유럽에 갔더니... 또 성당~~~??갑자기 주어지는 랜덤미션!20대라면 여행도 특별하게 즐겨보자!<한복대여지원 / 2주간 1만원>유럽에서 한복입기! #버킷리스트예쁜한복을 2주간 1만원에 대여할 수 있도록 지원합니다.유럽에서 한복입으면 너도나도 연예인! 사진찍자는 외국인이 줄을섭니다 :)",2018년 2월 14일 ~ 선착순마감,"각 기수별 48명 (기수는 여행 출발날짜만 다르며, 축제와 일정은 동일합니다!)","남들과는 다른 특별한 인생스토리 & 스펙을 갖고 싶은 20대 청춘 누구나!흔한 유럽여행 말고 우리만의 축제를 만들고 한국을 알리고 싶은 20대 청춘 누구나!나에 대한 욕심이 많고, 새로운 터닝포인트가 필요한 20대 청춘 누구나!졸업생 가능여부 : O",유료 프로그램입니다.,없음,"유럽 경력 14년의 노하우를 담고, 외교부에서 지정한 안전한 지역을 넣어 만든 특별한 유럽코스!!2주는 짧고, 3주는 길다<17박 18일>이탈리아(로마, 피렌체, 베네치아)슬로베니아(류블라냐)헝가리(부다페스트)오스트리아(비엔나)체코(체스키크롬로프, 프라하)","<17박 18일>30기, 31기 : 7.29 ~ 8.1532기 : 8.1 ~ 8.1833기 : 8.4 ~ 8.2134기, 35기 : 8.10 ~ 8.27(모든 기수의 방문도시 & 축제는 동일합니다. 날짜에 따라 기수가 나뉘어져 있습니다.)"
[CAMBOFRIEND] 해외봉사-개인교육봉사 지원자 모집(수시모집),20180315,CAMBOFRIEND,교육봉사활동,연중수시모집,제한없음 (홀로 또는 동행과 함께 신청 가능),"제한없음 (학생,휴학생,졸업생,직장인,일반인 등)",참가비용 : 유,해당없음,캄보디아(씨엠립) / 필리핀(클락) / 몽골(울란바토르) / 네팔(카트만두) / 케냐(나이로비),봉사활동기간 본인이 직접 정하여 봉사활동 가능
 [워너고트립] 유럽 30일 대장정 + 유럽의 특별한 봄 축제! 봄시즌 베스트 유럽 30일(~ 선착순 모집),20180314,워너고트립,"* 30일간의 핵심 동 / 서유럽 + @낭만의 동유럽과 매력 넘치는 서유럽 + @까지! 자세한 건 안내자료에!* 유럽의 3대 야경유럽에 가면 꼭 봐야하는 3대 야경!베스트 유럽 30일애눈 빠짐 없이 다~~~있다!* 유럽의 봄 축제 + 필스너 우르겔 양조장 투어!설레임 가득한 봄의 유럽!축제와 함께 더욱 붐업되는 낭만의 유럽 축제가 기다린다!맥주의 본고장 유럽에서 직접 보고, 듣고, 맛보고, 즐기는 필스너 우르겔 양조장 투어까지!* 20대만의 그룹여행 ‘혼자서는 느낄수 없는 즐거움’ 6~7명의 새로운 친구들과 한조가 되어 도시 별 자유여행을 즐기고 불편하고 번거로운 도시 이동은 다 같이 버스로!(도시간 이동만 다 함께, 도시 내 여행은 조별로 자유롭게 합니다.) 20대 또래들과 함께라 더 즐거워요. 평생 친구를 만날 수도 있죠.* 참가혜택 개별, 조별로 봉사 활동 기획하여 진행 가능(선택사항, 추가 봉사시간 인정) 우수 워너비들은 워너고트립 인턴 기회까지!", 모집 : 02.26 ~ 선착순 마감, 모집 인원 : 50명, 오직 20대만 ! 20~ 만 28세 청춘이라면 누구나 워너비(Wanna BEE)가 될 수 있습니다., 참가비용 유 / 홈페이지 안내자료 참조,, 유럽 10개국 19개 도시 / 홈페이지 안내자료 참조, 4월 25일 ~ 5월 24일
[아시아나항공] 올 여름 해외로 꿈여행 떠나자! 드림윙즈 8기 모집(~4/13,20180314,아시아나항공,"아시아나 드림윙즈는 꿈 꾸는 대학생들이 더 큰 꿈을 꾸고, 더 넓은세계를 경험할 수 있도록꿈에 대해 성찰할 수 있는 계기를 마련하고, 해외활동을후원하는 아시아나항공의 대학생 꿈 실현 프로젝트입니다",2018년 3월 12일(월) ~ 4월 13일(금) 낮 2시,총 10개팀(개인 또는 2인 이하 팀구성),"전국 대학생(졸업생 불가, 석박사 과정 제외)","국내 꿈 여행(지원금), 해외 꿈여행(왕복 항공권, 지원금) 제공",,,2018년 4월~7월
[볼런투어-공정봉사여행] 해외공정봉사여행 참가자 모집 (수시모집),20180313,캄보프렌드,"교육봉사 + 현지 실생활체험활동 + 문화,생활상탐방 + Activity체험활동 등",연중수시모집,"제한없음 (단, 2명이상 동행과 함께 신청 가능)","제한없음 (졸업생 가능) : 학생,휴학생,직장인,일반인 등",참가비용 : 유,해당없음 (누구나 신청 가능),캄보디아(씨엠립) / 몽골(울란바토르) / 네팔(카트만두) / 케냐(나이로비),3박5일 / 4박6일 / 6박8일 프로그램 운영 (본인 선택)
